query,match,coefficient,correct
54,54,0.226,1
2,2,0.246,1
20,20,0.246,1
90,90,0.28,1
30,30,0.296,1
49,49,0.302,1
12,12,0.318,1
67,67,0.327,1
69,69,0.329,1
80,80,0.329,1
39,39,0.33,1
55,60,0.33,0
50,50,0.337,1
52,39,0.356,0
34,34,0.38,1
26,26,0.391,1
72,72,0.411,1
19,19,0.418,1
58,58,0.418,1
84,84,0.418,1
6,6,0.423,1
64,64,0.427,1
15,15,0.429,1
61,61,0.43,1
45,45,0.443,1
87,87,0.454,1
95,95,0.457,1
93,93,0.467,1
43,43,0.477,1
25,25,0.486,1
97,97,0.489,1
82,82,0.5,1
29,29,0.512,1
8,8,0.515,1
76,76,0.521,1
4,4,0.538,1
3,3,0.633,1
21,21,0.657,1
99,100,0.67,0
9,9,0.68,1
73,73,0.68,1
66,66,0.683,1
16,16,0.684,1
88,88,0.694,1
91,62,0.699,0
33,33,0.7,1
94,67,0.705,0
46,46,0.716,1
78,78,0.717,1
40,40,0.719,1
31,31,0.721,1
22,22,0.739,1
57,57,0.769,1
41,41,0.778,1
98,98,0.778,1
60,60,0.78,1
85,85,0.781,1
62,62,0.791,1
5,5,0.792,1
37,37,0.793,1
100,100,0.795,1
7,7,0.797,1
0,0,0.809,1
51,51,0.811,1
13,13,0.812,1
68,68,0.812,1
36,36,0.814,1
47,47,0.821,1
53,53,0.822,1
77,77,0.825,1
42,42,0.826,1
35,35,0.829,1
1,1,0.833,1
92,92,0.838,1
23,23,0.849,1
14,14,0.854,1
56,56,0.857,1
10,10,0.859,1
24,24,0.861,1
17,17,0.877,1
71,71,0.879,1
38,38,0.885,1
83,83,0.886,1
32,32,0.888,1
44,44,0.892,1
11,11,0.893,1
27,27,0.899,1
48,48,0.9,1
59,59,0.908,1
74,74,0.911,1
75,75,0.913,1
81,81,0.913,1
70,70,0.915,1
79,79,0.918,1
89,89,0.92,1
18,18,0.924,1
63,63,0.925,1
96,96,0.925,1
28,28,0.938,1
86,86,0.938,1
65,65,0.95,1
